Altium Designer Pick and Place Locations
C:\Github\BHPPS\EEDev\EEDev-MAPS_SENSOR_HEAD_BOARD_PR\Gerber\Pick and Place\DE842170047.txt

========================================================================================================================
File Design Information:

Date:       07/03/23
Time:       10:39
Revision:   e5e618bfd1b4f4aaec82797c8238ab68d5de8849
Variant:    PCA
Units used: mil

Designator Comment         Layer       Footprint   Center-X(mil) Center-Y(mil) Rotation Description                                        
X2         KK/95710/0071   TopLayer    SMD_1.6X1.2 3326.772      137.795       0        "CRYSTAL SMD 50MHz 8pF"                            
R11        KK/96090/0230   TopLayer    R2512       236.220       600.394       90       "RESISTOR 2R 2512 1% 1W"                           
U13        LM2902          TopLayer    TSSOP-14    974.409       698.819       0        "IC,QUAD OP.AMP,DIP14,ST,LM2902KPWR"               
U12        LM2902          TopLayer    TSSOP-14    1673.228      698.819       0        "IC,QUAD OP.AMP,DIP14,ST,LM2902KPWR"               
U11        LM2902          TopLayer    TSSOP-14    1328.740      708.661       0        "IC,QUAD OP.AMP,DIP14,ST,LM2902KPWR"               
U7         KK/95413/0138   TopLayer    DFN-8       2342.520      738.189       0        "64K I2C SERIAL EEPROM"                            
D8         KK/95048/0189   TopLayer    SOD-123     2280.512      472.441       0        "DIODE SWITCHING POWER"                            
D7         KK/95048/0189   TopLayer    SOD-123     2303.149      226.378       0        "DIODE SWITCHING POWER"                            
D6         KK/95048/0189   TopLayer    SOD-123     2293.307      354.331       0        "DIODE SWITCHING POWER"                            
C8         KK/96160/0734   TopLayer    C0805       2286.417      610.236       0        CAPACITOR_22uF_20%_6V3_0805                        
X1         OSCILLATOR_3PIN TopLayer    SC70-3      3267.716      295.276       0        OSCILLATOR,SMD,CMOS,MAXIM,MAX7375AXR805+T          
C74        KK/96159/4501   TopLayer    C0603       1531.937      136.811       90       CAPACITOR_100nF_+10%_25V_603                       
C73        KK/96159/0401   TopLayer    C0603       1466.535      136.811       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C72        KK/96159/0401   TopLayer    C0603       1662.740      136.811       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C71        KK/96159/0401   TopLayer    C0603       1597.339      136.811       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C70        KK/96159/0401   TopLayer    C0603       1401.134      136.811       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C69        KK/96159/0469   TopLayer    C0603       1204.929      136.811       90       "CAPACITOR CER 0603 51n1F 10% 25V X5R"             
C68        KK/96159/4501   TopLayer    C0603       1139.527      136.811       90       CAPACITOR_100nF_+10%_25V_603                       
C67        KK/96159/0425   TopLayer    C0603       1335.732      136.811       90       "CAPACITOR CER 0603 17n8F 10% 25V X5R"             
C66        KK/96159/0407   TopLayer    C0603       1270.331      136.811       90       "CAPACITOR CER 0603 11n5F 10% 25V X5R"             
C65        KK/96159/4501   TopLayer    C0603       1074.985      399.890       90       CAPACITOR_100nF_+10%_25V_603                       
C64        KK/96159/0401   TopLayer    C0603       1009.583      399.890       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C63        KK/96159/0401   TopLayer    C0603       1205.788      399.890       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C62        KK/96159/0401   TopLayer    C0603       1140.386      399.890       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C61        KK/96159/0401   TopLayer    C0603       944.182       399.890       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C60        KK/96159/4501   TopLayer    C0603       1793.543      136.811       90       CAPACITOR_100nF_+10%_25V_603                       
C59        KK/96159/0469   TopLayer    C0603       1728.142      136.811       90       "CAPACITOR CER 0603 51n1F 10% 25V X5R"             
C58        KK/96159/0425   TopLayer    C0603       1924.347      136.811       90       "CAPACITOR CER 0603 17n8F 10% 25V X5R"             
C57        KK/96159/4501   TopLayer    C0603       1858.945      136.811       90       CAPACITOR_100nF_+10%_25V_603                       
C56        KK/96159/0401   TopLayer    C0603       1074.126      136.811       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C55        KK/96159/0425   BottomLayer C0603       1458.811      388.520       90       "CAPACITOR CER 0603 17n8F 10% 25V X5R"             
C54        KK/96159/0401   TopLayer    C0603       1595.866      1077.496      90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C53        KK/96159/0469   BottomLayer C0603       1328.008      388.520       90       "CAPACITOR CER 0603 51n1F 10% 25V X5R"             
C52        KK/96159/0401   BottomLayer C0603       1393.409      388.520       90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C51        KK/96159/0401   TopLayer    C0603       1530.465      1077.496      90       "CAPACITOR CERAMIC 0603 50V 10% X7R 10nF"          
C50        KK/96159/0407   TopLayer    C0603       1334.260      1077.496      90       "CAPACITOR CER 0603 11n5F 10% 25V X5R"             
C49        KK/96159/4501   TopLayer    C0603       1268.858      1077.496      90       CAPACITOR_100nF_+10%_25V_603                       
C48        KK/96159/4334   TopLayer    C0603       1465.063      1077.496      90       CAPACITOR_2.2nF_10%_25V_603                        
C47        KK/96159/3434   TopLayer    C0603       1399.661      1077.496      90       "CAPACITOR CERAMIC 0603 25V 10% X7R 22nF"          
C46        KK/96159/4334   TopLayer    C0603       877.921       136.811       90       CAPACITOR_2.2nF_10%_25V_603                        
C45        KK/96159/4334   TopLayer    C0603       812.519       136.811       90       CAPACITOR_2.2nF_10%_25V_603                        
C44        KK/96159/3434   TopLayer    C0603       1008.724      136.811       90       "CAPACITOR CERAMIC 0603 25V 10% X7R 22nF"          
C43        KK/96159/4334   TopLayer    C0603       943.323       136.811       90       CAPACITOR_2.2nF_10%_25V_603                        
C42        KK/96159/4334   BottomLayer C0603       1001.000      388.520       90       CAPACITOR_2.2nF_10%_25V_603                        
C41        KK/96159/4334   BottomLayer C0603       1197.204      388.520       90       CAPACITOR_2.2nF_10%_25V_603                        
C40        KK/96159/3434   BottomLayer C0603       1262.606      388.520       90       "CAPACITOR CERAMIC 0603 25V 10% X7R 22nF"          
C39        KK/96159/4501   BottomLayer C0603       1066.401      388.520       90       CAPACITOR_100nF_+10%_25V_603                       
C38        KK/96159/4501   BottomLayer C0603       1131.803      388.520       90       CAPACITOR_100nF_+10%_25V_603                       
C37        KK/96159/2666   TopLayer    C0603       1271.189      399.890       90       CAPACITOR_4u7F_10%_10V_0603                        
C36        KK/96159/4501   TopLayer    C0603       1454.324      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C35        KK/96159/4501   TopLayer    C0603       1519.726      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C34        KK/96159/4501   TopLayer    C0603       1585.127      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C33        KK/96159/4501   TopLayer    C0603       1258.119      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C32        KK/96159/4501   TopLayer    C0603       1323.521      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C31        KK/96159/4501   TopLayer    C0603       1388.922      951.071       90       CAPACITOR_100nF_+10%_25V_603                       
C30        KK/96159/3634   BottomLayer C0603       1469.550      262.094       90       "CAPACITOR CERAMIC 0603 16V 10% X5R 2u2"           
